petrol_usd_liter
1.465
1.568
1.527
1.228
1.648
2.649
0.354
1.264
0.346
1.004
0.591
2.476
2.712
1.434
1.38
0.182
2.6
0.086
0.967
0.392
0.14
2.867
0.838
1.719
1.398
0.096
0.448
1.861
0.474
0.917
0.131
1.407
1.092
1.093
2.815
2.586
2.811
2.558
2.341
0.342
0.01
2.539
1.315
2.263
0.311
1.232
2.674
1.407
2.092
1.457
0.976
0.063
1.581
0.54
2.36
0.463
1.547
2.93
1.049
3.405
2.102
0.977
0.98
0.07
1.902
1.778
2.352
2.122
1.472
2.618
0.91
0.863
2.542
1.218
0.01
2.598
0.447
2.851
2.142
0.01
0.962
0.826
0.119
1.504
2.38
2.581
1.931
2.909
1.035
1.777
3.431
0.482
2.827
0.104
1.47
0.146
0.985
0.906
0.802
0.94
0.142
2.628
2.387
1.315
2.658
1.627
0.843
1.451
0.05
0.989
1.21
1.252
1.528
0.333
1.554
2.086
1.396
1.059
0.598
2.511
2.813
2.45
0.01
2.735
2.535
0.434
2.1
0.942
1.884
0.322
2.499
2.606
2.535
0.334
2.326
1.716
0.821
0.392
0.079
1.44
0.052
0.113
1.327
2.854
1.042
1.255
1.235
0.849
0.39
2.72
1.447
0.555
2.102
0.398
1.435
0.093
2.808
1.068
0.991
2.246
1.579
1.404
0.424
2.068
2.067
2.279
1.218
1.611
2.629
1.507
0.91
2.835
1.312
2.566
1.315
1.451
1.463
1.446
1.133
0.342
0.426
2.714
2.142
2.615
2.418
1.925
2.186
1.777
1.631
2.16
1.394
2.689
0.124
0.99
2.822
2.629
2.568
0.318
1.495
1.052
2.973
0.022
0.944
2.364
1.621
1.573
0.936
2.561
0.542
1.268
1.006
2.401
3.415
0.856
1.452
0.42
0.01
0.626
0.044
0.477
0.402
1.724
0.846
2.527
0.114
2.775
0.932
1.39
0.118
0.141
0.122
2.888
2.884
0.131
0.348
2.653
1.025
1.403
0.973
0.348
1.283
0.424
1.109
1.888
0.882
0.104
0.854
0.947
0.412
0.112
1.596
0.13
1.486
1.675
3.596
0.094
0.974
3.029
1.084
1.149
3.087
1.267
1.043
2.862
2.518
1.9
2.009
1.79
2.622
0.431
1.847
2.177
0.095
2.951
0.916
2.215
1.432
0.48
2.72
0.042
0.093
2.646
1.022
0.551
0.032
2.769
2.678
2.463
2.588
1.481
0.465
2.204
1.488
2.941
1.48
0.65
1.346
1.154
0.01
0.343
1.607
2.113
1.034
1.072
1.232
0.453
0.373
0.882
1.498
2.742
0.351
1.615
2.819
0.919
2.623
2.327
2.475
0.137
0.124
1.33
1.597
0.308
1.404
2.696
2.985
1.69
1.361
0.973
2.699
2.733
0.359
0.033
2.97
2.952
1.559
1.495
0.336
1.354
1.121
1.828
1.453
0.926
0.01
1.339
2.638
2.839
0.85
1.457
1.266
2.626
1.026
0.147
1.496
1.007
2.324
2.134
0.159
1.655
1.825
2.6
1.678
2.643
1.633
1.611
1.255
2.931
3.066
3.548
1.0
1.043
1.114
2.735
2.676
2.418
1.632
0.151
0.394
1.395
1.366
1.029
1.539
0.609
2.61
0.108
2.984
0.964
1.012
2.21
0.365
2.2
0.875
0.457
0.549
0.081
2.243
1.935
2.507
0.406
0.469
1.993
0.873
0.079
1.433
0.468
2.491
2.883
1.131
0.114
0.01
0.464
0.44
1.043
1.625
1.507
1.211
1.509
1.484
2.931
0.929
0.414
0.628
1.376
2.991
0.045
2.671
2.478
2.011
1.958
2.866
1.255
2.623
1.037
0.963
1.576
0.928
3.052
1.426
0.16
2.426
2.197
0.173
0.862
1.537
2.364
2.798
1.381
0.129
2.483
1.328
1.121
0.428
0.345
0.566
0.114
0.115
2.703
0.343
1.054
1.415
1.843
0.377
1.002
0.476
0.01
1.002
2.552
1.461
2.598
2.939
1.297
0.142
2.651
2.74
2.178
2.668
1.676
3.53
2.628
0.926
1.036
0.023
2.881
1.64
2.124
0.07
0.484
2.208
1.56
1.164
0.848
0.342
1.844
1.015
1.049
1.588
2.992
2.559
1.388
0.881
1.329
2.794
2.735
0.646
2.55
0.937
0.395
1.649
3.65
0.491
3.154
1.281
0.01
1.195
1.767
2.799
0.355
1.125
1.671
1.077
1.523
2.482
1.904
1.051
0.359
0.065
3.057
2.049
2.627
1.66
0.115
0.6
2.237
0.318
1.483
0.062
2.431
0.414
2.706
1.713
0.161
2.906
0.085
1.369
1.89
2.0
0.895
1.52
1.481
2.242
0.929
2.847
1.395
1.528
0.347
1.208
3.058
0.153
1.582
2.188
2.755
1.028
2.7
2.989
0.166
2.708
1.272
0.506
0.967
2.256
1.082
0.523
0.017
2.929
0.145
1.062
0.49
0.486
2.887
2.043
1.174
0.184
3.063
3.126
2.326
0.113
2.642
0.911
2.818
1.06
1.388
0.1
0.88
1.46
2.938
2.667
0.382
0.468
0.52
0.141
0.988
1.183
1.508
0.049
1.694
0.623
0.109
1.88
1.321
0.353
1.298
1.062
1.597
2.826
1.635
0.01
1.764
0.141
2.934
1.099
2.724
0.355
2.065
1.694
2.456
1.056
1.516
1.608
1.726
1.064
2.636
0.894
2.81
0.384
2.731
0.592
2.283
2.769
2.307
0.027
3.718
1.911
0.39
1.565
2.791
0.108
1.68
1.415
3.111
1.376
0.981
2.577
1.572
3.017
3.186
1.103
2.269
1.079
1.434
2.784
0.935
3.07
1.899
2.9
0.967
1.16
2.177
2.705
0.448
0.885
0.114
1.557
2.703
2.958
1.292
0.921
0.125
1.521
1.518
2.382
0.369
0.121
0.464
1.472
0.339
1.549
1.987
2.844
2.27
2.708
0.022
1.359
1.056
1.55
0.395
0.116
0.01
1.742
1.147
3.676
2.852
1.661
3.122
1.252
1.953
1.102
2.998
3.093
2.537
1.083
1.643
1.585
2.99
2.754
0.106
2.542
0.456
2.622
0.123
1.066
0.925
2.301
0.151
0.396
2.269
0.475
0.562
2.791
0.01
2.074
2.575
1.391
1.424
1.059
1.657
1.687
0.377
0.983
0.657
0.949
0.095
0.118
0.01
2.585
0.874
1.397
2.528
2.836
0.979
2.608
2.655
0.393
0.857
1.133
2.842
2.785
2.946
3.433
0.105
1.764
1.96
0.98
1.494
1.586
2.394
1.634
0.026
0.561
2.149
1.049
2.125
2.539
2.535
0.972
1.48
1.37
2.67
0.317
1.262
2.059
1.476
0.344
2.264
1.323
1.445
2.12
1.074
2.301
1.453
0.102
0.781
1.734
0.016
0.441
1.84
2.743
0.914
0.113
0.179
0.445
2.551
1.436
1.26
1.57
1.301
0.143
0.661
2.439
0.359
0.962
1.065
1.575
1.235
0.463
1.008
2.752
2.372
0.433
2.601
0.338
0.859
1.445
0.365
2.46
1.185
0.093
2.569
1.207
0.123
1.231
1.438
1.481
1.528
0.01
0.774
0.426
2.002
0.305
1.317
1.867
1.345
0.913
2.087
1.36
2.508
1.357
2.386
1.963
2.223
2.441
0.925
1.774
2.758
2.156
1.4
0.051
0.413
0.313
0.922
1.988
2.355
0.406
0.308
2.297
0.101
0.355
0.889
1.018
1.422
2.619
2.23
2.382
0.945
2.629
3.177
1.634
0.095
1.647
0.772
0.987
0.494
0.398
0.899
2.379
2.436
0.843
1.322
0.769
2.368
0.118
1.112
0.024
0.824
1.765
1.224
2.675
0.549
1.36
0.01
0.099
1.124
2.67
0.817
0.803
1.25
3.077
2.306
0.12
1.6
0.83
1.475
1.138
0.129
0.74
0.01
0.512
1.059
1.604
1.407
2.335
0.394
0.82
0.354
0.754
2.214
0.294
0.315
0.147
0.881
2.532
0.959
1.405
1.101
2.515
0.37
1.324
2.333
2.252
0.111
0.935
2.582
2.32
1.907
2.582
0.902
1.937
0.139
0.403
2.143
0.806
2.349
1.429
0.888
1.706
2.665
1.245
0.556
2.138
1.314
0.099
2.165
1.916
0.915
0.082
1.32
2.307
2.424
1.398
0.302
1.234
0.392
0.295
1.028
1.825
0.016
0.891
1.17
1.16
0.023
1.318
2.475
1.313
1.677
2.452
2.02
0.34
0.878
0.949
0.034
0.854
1.851
2.356
0.093
0.01
0.394
2.264
0.902
1.295
2.089
0.911
0.744
0.117
1.192
2.083
0.129
0.028
0.086
0.753
1.109
2.504
1.106
0.359
1.673
1.868
1.285
1.288
0.285
0.275
0.842
1.01
2.434
2.264
0.94
2.998
1.411
0.039
0.476
0.894
1.886
0.271
1.796
1.336
2.0
0.438
2.23
